Country,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,25000,200000,600000,1200000,2520366,4668096,7898909,10500000,13000000,17558265
Algeria,470,4781,4781,4781,1348,4691,11700,17400,18000,72000,86000,100000,450244,1446927,4882414,13661355,20997954,27562721,27031472,32729824,32780165,35615926
Angola,0,0,0,1100,1824,1994,3298,7052,9820,24000,25806,75000,140000,350000,740000,1611118,3054620,4961536,6773356,8109421,8909200,9491000
Antigua and Barbuda,0,0,0,0,0,0,1300,1400,1500,8500,22000,25000,38205,46100,54000,86000,110177,112381,136592,134925,167970,162773
Argentina,12000,25000,46590,112000,241163,405395,667020,2009073,2670862,3848869,6487950,6741791,6566740,7842233,13512383,22156426,31510390,40401771,46508774,52482780,53700000,55000000
Australia,184943,291459,497000,690000,1220000,2242000,3990000,4578000,4918000,6315000,8562000,11132000,12670000,14347000,16480000,18420000,19760000,21260000,22120000,22200000,22500000,24490000
Austria,73698,115402,172453,220859,278199,383535,598708,1159700,2292900,4250393,6117000,6541000,6736000,7274000,7992000,8665000,9281000,9912000,10816000,11434000,12241000,13022578
Bahamas,1922,2020,2600,2401,0,4100,4948,6200,8072,15911,31524,60555,121759,122228,186007,227771,252987,373999,358050,358812,428377,298790
Bahrain,5147,7354,9683,11360,17616,27600,40080,58543,92063,133468,205727,299587,388990,443109,649764,767103,907433,1115979,1440782,1401974,1567000,1693650
Bangladesh,0,0,250,500,1104,2500,4000,26000,75000,149000,279000,520000,1075000,1365000,2781560,9000000,19130983,34370000,44640000,52430000,68650000,85000000
Belgium,42880,51420,61460,67771,128071,235258,478172,974494,1756287,3186602,5629000,7697000,8101777,8605834,9131705,9604695,9847375,10738121,11341704,11775240,12154041,12540603
Bermuda,1112,1440,1936,3400,5127,6324,7980,10276,12572,12800,13000,13333,30000,40000,49000,52720,60100,69000,79000,85000,88200,0
Bolivia,0,295,1551,2659,4056,7229,33400,118433,239272,420344,582620,779917,1023333,1278844,1800789,2421402,2876143,3254410,5038600,6464390,7179293,8353273
Brazil,667,6700,32000,182000,574009,1285533,2498154,4550000,7368218,15032698,23188171,28745769,34880964,46373266,65605000,86210336,99918621,120980103,150641403,173959368,202944033,242231503
Brunei,1772,3025,4103,8304,15623,35881,43524,45000,49129,66000,95000,143004,153647,177365,202454,232900,301400,366138,398857,412882,435104,443161
Cambodia,0,0,0,4810,10239,14100,23098,33556,61345,89117,130547,223458,380000,498388,861500,1062000,1721650,2583318,4237000,6268000,8150764,10000000
Canada,583766,775831,1026611,1332982,1865779,2589780,3497779,4195000,5346000,6911038,8727000,10649000,11872000,13291000,15020000,17016600,18749100,20277400,22092500,23811900,24037372,25858318
Cayman Islands,0,559,988,1260,1813,2534,0,4109,5170,8410,10700,17000,19000,21040,33800,80945,92559,101497,98313,108699,99891,95120
Chile,13921,36136,64438,85186,115691,197314,319474,409740,964248,2260687,3401525,5100783,6244310,7268281,9261385,10569572,12450801,13955202,14796593,16450223,19852242,22399969
China,18319,47544,176943,638000,1568000,3629000,6853000,13233000,23863000,43296000,85260000,144820000,206005000,269953000,334824000,393406000,461058000,547306000,641245000,747214000,859003000,986253000
Colombia,0,0,0,0,86805,274590,522857,1264763,1800229,1966535,2256801,3265261,4596594,6186206,10400578,21849993,29762715,33941118,41364753,42159613,44477653,46200421
Costa Rica,0,0,3008,4533,6985,18750,46531,64387,108770,138178,211614,326944,502478,778299,923084,1101305,1443717,1508219,1886570,1950318,3035007,4358127
Croatia,240,2019,6320,11382,21664,33688,64943,120420,182500,295000,1033000,1755000,2312600,2537300,2835500,3649700,4395200,5034582,4554777,4675017,4928352,5115140
Cuba,0,0,234,500,1152,1939,2427,2994,4056,5136,6536,8579,17851,35356,75797,135534,152715,198252,331736,621156,1003015,1315141
Cyprus,3156,5131,9739,15288,22938,44453,70781,91968,116429,151649,218324,314355,417933,551752,658234,782503,867785,988312,1016739,977521,1034071,1090944
Czech Republic,0,1242,4651,14043,30429,48900,200315,526339,965476,1944553,4346009,6947151,8610177,9708683,10782567,11775878,12406199,13228631,13780165,14258404,12775068,12810000
Denmark,148220,175943,211063,357589,503500,822264,1316592,1444016,1931101,2628585,3363552,3960165,4477752,4767100,5166912,5449206,5828157,6308000,6556988,6833683,6981000,7047000
Dominican Republic,3166,5605,7190,10364,20990,55979,82547,141592,209384,424434,705431,1270082,1700609,2091914,2534063,3623289,4605659,5512859,7210483,8629815,8892783,8770780
Ecuador,0,0,0,0,18920,54380,59779,126505,242812,383185,482213,859152,1560861,2398161,3544174,6246332,8485050,9939977,11684479,13241758,14780730,15332715
Egypt,4000,4500,4913,6877,7371,7368,7369,65378,90786,480974,1359900,2793800,4494700,5797530,7643060,13629602,18001106,30093673,41286662,55352233,70661005,83425145
Eritrea and Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0,6740,17757,27500,50369,51324,155534,410630,866700,1208498,1954527,4051703,6854000,14126659
Fiji,0,0,0,0,1100,2200,3700,5200,8000,23380,55057,80933,89900,109882,142190,205000,284661,530048,600000,640000,697920,727000
Finland,257872,319137,386021,489174,675565,1039126,1502003,2162574,2845985,3273433,3728625,4175587,4516772,4747126,4988000,5270000,5670000,6080000,6830000,7700000,8390000,8940000
France,283200,375000,436700,572000,883000,1302496,2462700,5817300,11210100,21433500,29052360,36997400,38585300,41702000,44544000,48088000,51662000,55358100,57972000,59600000,63200000,66300000
Germany,272609,532251,971890,1774378,2490500,3725000,5512000,8276000,13913000,23446000,48202000,56126000,59128000,64800000,71322000,79271000,85652000,96232925,105523065,105000000,104560000,108700000
Greece,0,0,0,48000,153000,273000,532000,937700,2047000,3904000,5932403,7963742,9314260,8936202,9324335,10260396,10979826,12294912,13799340,13295093,12292716,12127985
Greenland,0,0,171,438,964,2052,4122,6481,8899,13521,15114,15882,19924,29749,39033,46480,53900,66400,55816,53468,57349,58742
Guinea,0,0,0,42,812,950,950,2868,21567,25182,42112,55670,90772,111500,154900,189000,0,2000000,2750000,3489000,4000000,4500000
Hong Kong China,133912,189664,233324,290843,484823,798373,1361861,2229862,3174369,4275048,5447346,5776360,6395725,7349202,8213959,8544255,9444140,10751622,11580149,12597171,13793729,14930948
Hungary,2645,8477,23292,45712,143000,265000,473100,705786,1070154,1628153,3076279,4967430,6886111,7944586,8727188,9320000,9965720,11029930,12224163,11792475,12011823,11689937
Iceland,10010,12889,15251,17409,21845,30883,46805,65368,104280,172614,214896,248131,260438,279670,290068,283108,301922,326098,336922,339715,341077,344085
India,0,0,0,0,0,76680,327967,881839,1195400,1884311,3577095,6540000,13000000,33690000,52220000,90140000,166050000,233620000,346890000,525090000,752190000,893862478
Indonesia,18096,24528,35546,53438,78024,210643,562517,916173,1065820,2220969,3669327,6520947,11700000,18495251,30336607,46909972,63803015,93386881,140578243,163676961,211290235,236799493
Iran,0,0,0,0,9200,15902,59967,238942,389974,490478,962595,2087353,2279143,3449876,5075678,8510513,15385289,29770000,43000000,52555000,54051764,56043006
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,20000,80000,574000,1533000,9345371,14021232,17529000,20116876,23264408,25519000
Ireland,25000,32000,44000,61100,88000,158000,288600,545000,946000,1677000,2461000,2970000,3000000,3500000,3860000,4270000,4690135,4970719,5048127,4704497,4701474,4906352
Israel,15240,23000,36104,64484,133425,445456,1047582,1672442,2147000,2880000,4400000,5500621,6300008,6618367,7221955,7757000,8403765,8902000,8982000,9022000,9111000,9200000
Italy,266000,568000,783000,1207175,2240000,3923000,6422000,11737904,20489000,30296000,42246000,51246000,54200000,56770000,62750000,71500000,80418000,89801000,90341000,88024000,90600000,92300000
